============================= test session starts ==============================
platform darwin -- Python 3.11.8, pytest-8.4.0, pluggy-1.6.0 -- /Users/nicholasbaro/Python/semant/venv/bin/python3.11
cachedir: .pytest_cache
rootdir: /Users/nicholasbaro/Python/semant
configfile: pytest.ini
plugins: anyio-4.9.0, cov-4.1.0, langsmith-0.3.43, mock-3.12.0, asyncio-1.0.0
asyncio: mode=Mode.AUTO, asyncio_default_fixture_loop_scope=function, asyncio_default_test_loop_scope=function

    @pytest_asyncio.fixture
    async def setup_agents():
        kg = KnowledgeGraphManager()
        email_agent = VertexEmailAgent()
>       judge = JudgeAgent(kg=kg)
                ^^^^^^^^^^^^^^^^^
E       TypeError: JudgeAgent.__init__() got an unexpected keyword argument 'kg'

tests/unit/test_judge_agent.py:14: TypeError
=================================== FAILURES ===================================
_____________________________ test_register_agent ______________________________

integrator = <agents.core.agent_integrator.AgentIntegrator object at 0x12657bc10>
mock_agent = <tests.utils.test_agents.MockAgent object at 0x1266b7190>

    @pytest.mark.asyncio
    async def test_register_agent(integrator, mock_agent):
        """Test registering an agent."""
        await integrator.register_agent(mock_agent)
        assert mock_agent.agent_id in integrator.agents
        assert mock_agent.knowledge_graph is not None
>       capabilities = await mock_agent.capabilities
                             ^^^^^^^^^^^^^^^^^^^^^^^
E       AttributeError: 'MockAgent' object has no attribute 'capabilities'

tests/test_agent_integrator.py:37: AttributeError
---------------------------- Captured stderr setup -----------------------------
2025-06-09 21:22:18.967 | DEBUG    | kg.models.graph_manager:initialize:239 - Knowledge graph initialized
2025-06-09 21:22:18.970 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:18.970 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent scientificswarmagent_165855d2 with capabilities: set()
2025-06-09 21:22:18.970 | INFO     | scientific_swarm_agent:initialize:35 - Scientific Swarm Agent initialized
2025-06-09 21:22:18.970 | INFO     | scientific_swarm_agent:initialize:35 - Scientific Swarm Agent initialized
2025-06-09 21:22:18.970 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for scientificswarmagent_165855d2
2025-06-09 21:22:18.972 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../core/remote_kg_agent.py: expected an indented block after function definition on line 80 (remote_kg_agent.py, line 82)
2025-06-09 21:22:18.974 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../core/agent_integrator.py: attempted relative import with no known parent package
2025-06-09 21:22:18.975 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../core/multi_agent.py: MultiAgent.__init__() missing 2 required positional arguments: 'capabilities' and 'sub_agents'
2025-06-09 21:22:18.975 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../core/feature_z_agent.py: expected an indented block after function definition on line 50 (feature_z_agent.py, line 52)
2025-06-09 21:22:18.979 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:18.979 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.MESSAGE_PROCESSING@1.0
2025-06-09 21:22:18.979 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent sensoragent_b79f969e with capabilities: {Capability(type=message_processing, version=1.0, parameters={}, metadata={})}
2025-06-09 21:22:18.979 | INFO     | sensor_agent:initialize:20 - Sensor Agent initialized
2025-06-09 21:22:18.979 | INFO     | sensor_agent:initialize:20 - Sensor Agent initialized
2025-06-09 21:22:18.979 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for sensoragent_b79f969e
2025-06-09 21:22:18.979 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:18.979 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.KNOWLEDGE_GRAPH_UPDATE@1.0
2025-06-09 21:22:18.979 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.KNOWLEDGE_GRAPH_QUERY@1.0
2025-06-09 21:22:18.979 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.CODE_REVIEW@1.0
2025-06-09 21:22:18.979 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent agenticpromptagent_f3129d6e with capabilities: {Capability(type=knowledge_graph_update, version=1.0, parameters={}, metadata={}), Capability(type=knowledge_graph_query, version=1.0, parameters={}, metadata={}), Capability(type=code_review, version=1.0, parameters={}, metadata={})}
2025-06-09 21:22:18.979 | INFO     | agentic_prompt_agent:initialize:49 - Agentic Prompt Agent initialized
2025-06-09 21:22:18.979 | INFO     | agentic_prompt_agent:initialize:49 - Agentic Prompt Agent initialized
2025-06-09 21:22:18.979 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for agenticpromptagent_f3129d6e
2025-06-09 21:22:18.980 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../core/ttl_validation_agent.py: expected an indented block after function definition on line 40 (ttl_validation_agent.py, line 42)
2025-06-09 21:22:18.980 | INFO     | research_agent:initialize:25 - Research Agent initialized
2025-06-09 21:22:18.980 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../core/research_agent.py: Agent not initialized. Call initialize() first.
2025-06-09 21:22:18.981 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../core/workflow_monitor.py: attempted relative import with no known parent package
2025-06-09 21:22:18.981 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../core/supervisor_agent.py: SupervisorAgent.__init__() missing 2 required positional arguments: 'registry' and 'knowledge_graph'
2025-06-09 21:22:18.983 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:18.983 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.MESSAGE_PROCESSING@1.0
2025-06-09 21:22:18.983 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent dataprocessoragent_918679d7 with capabilities: {Capability(type=message_processing, version=1.0, parameters={}, metadata={})}
2025-06-09 21:22:18.983 | INFO     | data_processor_agent:initialize:20 - Data Processor Agent initialized
2025-06-09 21:22:18.983 | INFO     | data_processor_agent:initialize:20 - Data Processor Agent initialized
2025-06-09 21:22:18.983 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for dataprocessoragent_918679d7
2025-06-09 21:22:19.602 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../diary/example.py: No module named 'diary_agent'
2025-06-09 21:22:19.603 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.603 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.MESSAGE_PROCESSING@1.0
2025-06-09 21:22:19.604 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.DECISION_MAKING@1.0
2025-06-09 21:22:19.604 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent judgeagent_9fd8f7ee with capabilities: {Capability(type=message_processing, version=1.0, parameters={}, metadata={}), Capability(type=decision_making, version=1.0, parameters={}, metadata={})}
2025-06-09 21:22:19.604 | INFO     | judge_agent:initialize:39 - Judge Agent initialized
2025-06-09 21:22:19.604 | INFO     | judge_agent:initialize:39 - Judge Agent initialized
2025-06-09 21:22:19.604 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for judgeagent_9fd8f7ee
2025-06-09 21:22:19.604 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.604 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.DIARY_MANAGEMENT@1.0
2025-06-09 21:22:19.604 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.MESSAGE_PROCESSING@1.0
2025-06-09 21:22:19.604 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent diaryagent_9d0f49e2 with capabilities: {Capability(type=diary_management, version=1.0, parameters={}, metadata={}), Capability(type=message_processing, version=1.0, parameters={}, metadata={})}
2025-06-09 21:22:19.604 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for diaryagent_9d0f49e2
2025-06-09 21:22:19.605 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.605 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.PATTERN_ANALYSIS@1.0
2025-06-09 21:22:19.605 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.STATIC_ANALYSIS@1.0
2025-06-09 21:22:19.605 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.CODE_SMELL_DETECTION@1.0
2025-06-09 21:22:19.605 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.CODE_QUALITY@1.0
2025-06-09 21:22:19.605 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.CODE_REVIEW@1.0
2025-06-09 21:22:19.605 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent codereviewagent_0e9ea65d with capabilities: {Capability(type=static_analysis, version=1.0, parameters={}, metadata={}), Capability(type=pattern_analysis, version=1.0, parameters={}, metadata={}), Capability(type=code_smell_detection, version=1.0, parameters={}, metadata={}), Capability(type=code_quality, version=1.0, parameters={}, metadata={}), Capability(type=code_review, version=1.0, parameters={}, metadata={})}
2025-06-09 21:22:19.605 | INFO     | agents.core.scientific_swarm_agent:initialize:35 - Scientific Swarm Agent initialized
2025-06-09 21:22:19.605 | INFO     | agents.domain.code_review_agent:initialize:48 - Code Review Agent initialized
2025-06-09 21:22:19.605 | INFO     | agents.core.scientific_swarm_agent:initialize:35 - Scientific Swarm Agent initialized
2025-06-09 21:22:19.605 | INFO     | agents.domain.code_review_agent:initialize:48 - Code Review Agent initialized
2025-06-09 21:22:19.605 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for codereviewagent_0e9ea65d
2025-06-09 21:22:19.605 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.605 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent scientificswarmagent_8b47d2b2 with capabilities: set()
2025-06-09 21:22:19.605 | INFO     | agents.core.scientific_swarm_agent:initialize:35 - Scientific Swarm Agent initialized
2025-06-09 21:22:19.605 | INFO     | agents.core.scientific_swarm_agent:initialize:35 - Scientific Swarm Agent initialized
2025-06-09 21:22:19.605 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for scientificswarmagent_8b47d2b2
2025-06-09 21:22:19.605 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../domain/test_swarm_coordinator.py: TEST_ANALYSIS
2025-06-09 21:22:19.605 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.605 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent corporateknowledgeagent_6b810afb with capabilities: set()
2025-06-09 21:22:19.605 | INFO     | corporate_knowledge_agent:initialize:34 - Corporate Knowledge Agent initialized successfully
2025-06-09 21:22:19.605 | INFO     | corporate_knowledge_agent:initialize:34 - Corporate Knowledge Agent initialized successfully
2025-06-09 21:22:19.605 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for corporateknowledgeagent_6b810afb
2025-06-09 21:22:19.606 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.606 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent vertexemailagent_004232a7 with capabilities: set()
2025-06-09 21:22:19.606 | INFO     | vertex_email_agent:initialize:19 - Vertex Email Agent initialized (simulation)
2025-06-09 21:22:19.606 | INFO     | vertex_email_agent:initialize:19 - Vertex Email Agent initialized (simulation)
2025-06-09 21:22:19.606 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for vertexemailagent_004232a7
2025-06-09 21:22:19.606 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.606 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.PATTERN_ANALYSIS@1.0
2025-06-09 21:22:19.606 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.STATIC_ANALYSIS@1.0
2025-06-09 21:22:19.606 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.CODE_SMELL_DETECTION@1.0
2025-06-09 21:22:19.606 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.CODE_QUALITY@1.0
2025-06-09 21:22:19.606 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.CODE_REVIEW@1.0
2025-06-09 21:22:19.606 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent codereviewagent_28d248e5 with capabilities: {Capability(type=static_analysis, version=1.0, parameters={}, metadata={}), Capability(type=pattern_analysis, version=1.0, parameters={}, metadata={}), Capability(type=code_smell_detection, version=1.0, parameters={}, metadata={}), Capability(type=code_quality, version=1.0, parameters={}, metadata={}), Capability(type=code_review, version=1.0, parameters={}, metadata={})}
2025-06-09 21:22:19.606 | INFO     | agents.core.scientific_swarm_agent:initialize:35 - Scientific Swarm Agent initialized
2025-06-09 21:22:19.606 | INFO     | code_review_agent:initialize:48 - Code Review Agent initialized
2025-06-09 21:22:19.606 | INFO     | agents.core.scientific_swarm_agent:initialize:35 - Scientific Swarm Agent initialized
2025-06-09 21:22:19.606 | INFO     | code_review_agent:initialize:48 - Code Review Agent initialized
2025-06-09 21:22:19.606 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for codereviewagent_28d248e5
2025-06-09 21:22:19.606 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.606 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent scientificswarmagent_03de0a35 with capabilities: set()
2025-06-09 21:22:19.606 | INFO     | agents.core.scientific_swarm_agent:initialize:35 - Scientific Swarm Agent initialized
2025-06-09 21:22:19.606 | INFO     | agents.core.scientific_swarm_agent:initialize:35 - Scientific Swarm Agent initialized
2025-06-09 21:22:19.606 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for scientificswarmagent_03de0a35
2025-06-09 21:22:19.606 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../domain/simple_agents.py: Agent not initialized. Call initialize() first.
2025-06-09 21:22:19.607 | DEBUG    | agents.core.agent_registry:initialize:401 - AgentRegistry initialized
2025-06-09 21:22:19.607 | INFO     | agents.core.agent_integrator:initialize:20 - Agent registry initialized successfully
2025-06-09 21:22:19.607 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.607 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.DATA_PROCESSING@1.0
2025-06-09 21:22:19.607 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent test_agent with capabilities: {Capability(type=data_processing, version=1.0, parameters={}, metadata={})}
----------------------------- Captured stderr call -----------------------------
2025-06-09 21:22:19.607 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for test_agent
2025-06-09 21:22:19.607 | INFO     | agents.core.agent_integrator:register_agent:51 - Registered agent: test_agent
--------------------------- Captured stderr teardown ---------------------------
2025-06-09 21:22:19.690 | INFO     | agents.core.agent_registry:cleanup:109 - Starting WorkflowNotifier cleanup
2025-06-09 21:22:19.690 | INFO     | agents.core.agent_registry:_process_notifications:77 - Notification processor cancelled
2025-06-09 21:22:19.690 | INFO     | agents.core.agent_registry:cleanup:125 - WorkflowNotifier cleanup completed
2025-06-09 21:22:19.690 | INFO     | agents.core.agent_registry:cleanup:417 - AgentRegistry cleaned up
2025-06-09 21:22:19.690 | INFO     | agents.core.agent_registry:cleanup:109 - Starting WorkflowNotifier cleanup
2025-06-09 21:22:19.690 | INFO     | agents.core.agent_registry:cleanup:125 - WorkflowNotifier cleanup completed
2025-06-09 21:22:19.690 | INFO     | agents.core.agent_registry:cleanup:417 - AgentRegistry cleaned up
2025-06-09 21:22:19.690 | INFO     | agents.core.agent_registry:shutdown:783 - AgentRegistry shut down
______________________________ test_route_message ______________________________

integrator = <agents.core.agent_integrator.AgentIntegrator object at 0x1265b7d50>
mock_agent = <tests.utils.test_agents.MockAgent object at 0x13236bd50>

    @pytest.mark.asyncio
    async def test_route_message(integrator, mock_agent):
        """Test routing a message to an agent."""
        # Initialize agent first
        await mock_agent.initialize()
    
        # Register agent with explicit capabilities
        await integrator.register_agent(mock_agent)
    
        # Verify capabilities are registered
>       capabilities = await mock_agent.capabilities
                             ^^^^^^^^^^^^^^^^^^^^^^^
E       AttributeError: 'MockAgent' object has no attribute 'capabilities'

tests/test_agent_integrator.py:54: AttributeError
---------------------------- Captured stderr setup -----------------------------
2025-06-09 21:22:19.691 | DEBUG    | kg.models.graph_manager:initialize:239 - Knowledge graph initialized
2025-06-09 21:22:19.692 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.692 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent scientificswarmagent_ffa4c503 with capabilities: set()
2025-06-09 21:22:19.692 | INFO     | scientific_swarm_agent:initialize:35 - Scientific Swarm Agent initialized
2025-06-09 21:22:19.692 | INFO     | scientific_swarm_agent:initialize:35 - Scientific Swarm Agent initialized
2025-06-09 21:22:19.692 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for scientificswarmagent_ffa4c503
2025-06-09 21:22:19.694 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../core/remote_kg_agent.py: expected an indented block after function definition on line 80 (remote_kg_agent.py, line 82)
2025-06-09 21:22:19.695 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../core/agent_integrator.py: attempted relative import with no known parent package
2025-06-09 21:22:19.695 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../core/multi_agent.py: MultiAgent.__init__() missing 2 required positional arguments: 'capabilities' and 'sub_agents'
2025-06-09 21:22:19.696 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../core/feature_z_agent.py: expected an indented block after function definition on line 50 (feature_z_agent.py, line 52)
2025-06-09 21:22:19.699 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.699 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.MESSAGE_PROCESSING@1.0
2025-06-09 21:22:19.699 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent sensoragent_089c77ad with capabilities: {Capability(type=message_processing, version=1.0, parameters={}, metadata={})}
2025-06-09 21:22:19.699 | INFO     | sensor_agent:initialize:20 - Sensor Agent initialized
2025-06-09 21:22:19.699 | INFO     | sensor_agent:initialize:20 - Sensor Agent initialized
2025-06-09 21:22:19.699 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for sensoragent_089c77ad
2025-06-09 21:22:19.699 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.699 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.KNOWLEDGE_GRAPH_UPDATE@1.0
2025-06-09 21:22:19.699 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.KNOWLEDGE_GRAPH_QUERY@1.0
2025-06-09 21:22:19.699 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.CODE_REVIEW@1.0
2025-06-09 21:22:19.699 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent agenticpromptagent_5b3d3e1a with capabilities: {Capability(type=knowledge_graph_update, version=1.0, parameters={}, metadata={}), Capability(type=knowledge_graph_query, version=1.0, parameters={}, metadata={}), Capability(type=code_review, version=1.0, parameters={}, metadata={})}
2025-06-09 21:22:19.699 | INFO     | agentic_prompt_agent:initialize:49 - Agentic Prompt Agent initialized
2025-06-09 21:22:19.699 | INFO     | agentic_prompt_agent:initialize:49 - Agentic Prompt Agent initialized
2025-06-09 21:22:19.699 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for agenticpromptagent_5b3d3e1a
2025-06-09 21:22:19.699 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../core/ttl_validation_agent.py: expected an indented block after function definition on line 40 (ttl_validation_agent.py, line 42)
2025-06-09 21:22:19.700 | INFO     | research_agent:initialize:25 - Research Agent initialized
2025-06-09 21:22:19.700 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../core/research_agent.py: Agent not initialized. Call initialize() first.
2025-06-09 21:22:19.700 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../core/workflow_monitor.py: attempted relative import with no known parent package
2025-06-09 21:22:19.700 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../core/supervisor_agent.py: SupervisorAgent.__init__() missing 2 required positional arguments: 'registry' and 'knowledge_graph'
2025-06-09 21:22:19.702 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.702 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.MESSAGE_PROCESSING@1.0
2025-06-09 21:22:19.702 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent dataprocessoragent_b05ba373 with capabilities: {Capability(type=message_processing, version=1.0, parameters={}, metadata={})}
2025-06-09 21:22:19.702 | INFO     | data_processor_agent:initialize:20 - Data Processor Agent initialized
2025-06-09 21:22:19.702 | INFO     | data_processor_agent:initialize:20 - Data Processor Agent initialized
2025-06-09 21:22:19.702 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for dataprocessoragent_b05ba373
2025-06-09 21:22:19.719 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../diary/example.py: No module named 'diary_agent'
2025-06-09 21:22:19.720 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.720 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.MESSAGE_PROCESSING@1.0
2025-06-09 21:22:19.720 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.DECISION_MAKING@1.0
2025-06-09 21:22:19.720 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent judgeagent_a842d166 with capabilities: {Capability(type=message_processing, version=1.0, parameters={}, metadata={}), Capability(type=decision_making, version=1.0, parameters={}, metadata={})}
2025-06-09 21:22:19.720 | INFO     | judge_agent:initialize:39 - Judge Agent initialized
2025-06-09 21:22:19.720 | INFO     | judge_agent:initialize:39 - Judge Agent initialized
2025-06-09 21:22:19.720 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for judgeagent_a842d166
2025-06-09 21:22:19.720 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.720 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.DIARY_MANAGEMENT@1.0
2025-06-09 21:22:19.720 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.MESSAGE_PROCESSING@1.0
2025-06-09 21:22:19.720 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent diaryagent_7873e591 with capabilities: {Capability(type=diary_management, version=1.0, parameters={}, metadata={}), Capability(type=message_processing, version=1.0, parameters={}, metadata={})}
2025-06-09 21:22:19.720 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for diaryagent_7873e591
2025-06-09 21:22:19.720 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.720 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.PATTERN_ANALYSIS@1.0
2025-06-09 21:22:19.720 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.STATIC_ANALYSIS@1.0
2025-06-09 21:22:19.720 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.CODE_SMELL_DETECTION@1.0
2025-06-09 21:22:19.720 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.CODE_QUALITY@1.0
2025-06-09 21:22:19.720 | DEBUG    | agents.core.capability_types:add:162 - Added capability: CapabilityType.CODE_REVIEW@1.0
2025-06-09 21:22:19.720 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent codereviewagent_fb90f22d with capabilities: {Capability(type=static_analysis, version=1.0, parameters={}, metadata={}), Capability(type=pattern_analysis, version=1.0, parameters={}, metadata={}), Capability(type=code_smell_detection, version=1.0, parameters={}, metadata={}), Capability(type=code_quality, version=1.0, parameters={}, metadata={}), Capability(type=code_review, version=1.0, parameters={}, metadata={})}
2025-06-09 21:22:19.720 | INFO     | agents.core.scientific_swarm_agent:initialize:35 - Scientific Swarm Agent initialized
2025-06-09 21:22:19.720 | INFO     | agents.domain.code_review_agent:initialize:48 - Code Review Agent initialized
2025-06-09 21:22:19.720 | INFO     | agents.core.scientific_swarm_agent:initialize:35 - Scientific Swarm Agent initialized
2025-06-09 21:22:19.720 | INFO     | agents.domain.code_review_agent:initialize:48 - Code Review Agent initialized
2025-06-09 21:22:19.720 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for codereviewagent_fb90f22d
2025-06-09 21:22:19.721 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.721 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent scientificswarmagent_e92294ef with capabilities: set()
2025-06-09 21:22:19.721 | INFO     | agents.core.scientific_swarm_agent:initialize:35 - Scientific Swarm Agent initialized
2025-06-09 21:22:19.721 | INFO     | agents.core.scientific_swarm_agent:initialize:35 - Scientific Swarm Agent initialized
2025-06-09 21:22:19.721 | DEBUG    | agents.core.agent_registry:notify_agent_registered:183 - Notified agent registration for scientificswarmagent_e92294ef
2025-06-09 21:22:19.721 | ERROR    | agents.core.agent_registry:_auto_discover_agents:372 - Error discovering agents in /Users/nicholasbaro/Python/semant/agents/core/../domain/test_swarm_coordinator.py: TEST_ANALYSIS
2025-06-09 21:22:19.721 | DEBUG    | agents.core.capability_types:initialize:133 - CapabilitySet initialized
2025-06-09 21:22:19.721 | DEBUG    | agents.core.base_agent:initialize:104 - Initialized agent corporateknowledgeagent_975de68d with capabilities: set()
2025-06-09 21:22:19.721 | INFO     | corporate_knowledge_agent:initialize:34 - Corporate Knowledge Agent initialized successfully
2025-06-09 21:22:19.721 | INFO     | corporate_knowledge_agent:initialize:34 - Corporate Knowledge Agent initialized successfully
